PE,rank,method,data,start,end
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 20)}",1566489800.167128,1566489800.16718
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 23)}",1566489800.1689541,1566489800.169003
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 24)}",1566489800.174973,1566489800.175026
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 25)}",1566489800.180796,1566489800.180851
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 21)}",1566489800.17396,1566489800.174013
streamProducerSynth2,2,write,"{'output': 'output', 'size': 190, 'id': ('streamProducerSynth2', 2, 'output', 26)}",1566489800.188156,1566489800.188211
streamProducerSynth2,2,read,"{'input': []}",1566489800.1882508,1566489800.1882591
streamProducerSynth2,2,process,"{}",1566489799.999529,1566489800.1882439
streamProducerSynth2,2,terminate,"{}",1566489800.188289,1566489800.188312
streamProducerSynth2,2,postprocess,"{}",1566489800.188282,1566489800.188286
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 1))]}",1566489800.143213,1566489800.189462
Match5,5,process,"{}",1566489800.1432052,1566489800.14321
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 2))]}",1566489800.1895401,1566489800.1903172
Match5,5,process,"{}",1566489800.189523,1566489800.189536
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion3', 3, 'output', 3)}",1566489800.197856,1566489800.197977
PeakGroundMotion3,3,process,"{}",1566489800.120867,1566489800.197833
Match5,5,read,"{'input': [('input', ('PeakGroundMotion3', 3, 'output', 3))]}",1566489800.1903648,1566489800.198882
Match5,5,process,"{}",1566489800.190355,1566489800.1903622
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 22)}",1566489800.201407,1566489800.2014651
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1272, 'id': ('PeakGroundMotion4', 4, 'output', 3)}",1566489800.203128,1566489800.2032619
PeakGroundMotion4,4,process,"{}",1566489800.161767,1566489800.203103
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 3))]}",1566489800.198996,1566489800.2047849
Match5,5,process,"{}",1566489800.198978,1566489800.1989892
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 23)}",1566489800.210929,1566489800.2109709
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 24)}",1566489800.215522,1566489800.2155552
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 25)}",1566489800.219639,1566489800.2196732
streamProducerReal0,0,write,"{'output': 'output', 'size': 189, 'id': ('streamProducerReal0', 0, 'output', 26)}",1566489800.226799,1566489800.2268631
streamProducerReal0,0,read,"{'input': []}",1566489800.226911,1566489800.22692
streamProducerReal0,0,process,"{}",1566489799.995161,1566489800.226903
streamProducerReal0,0,terminate,"{}",1566489800.226963,1566489800.22699
streamProducerReal0,0,postprocess,"{}",1566489800.226943,1566489800.226948
NormPE1,1,write,"{'output': 'output_mean', 'size': 144594, 'id': ('NormPE1', 1, 'output_mean', 4)}",1566489800.2283661,1566489800.2284338
NormPE1,1,write,"{'output': 'output_max', 'size': 144593, 'id': ('NormPE1', 1, 'output_max', 4)}",1566489800.228482,1566489800.228516
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 4))]}",1566489800.1980119,1566489800.231661
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 4))]}",1566489800.2032971,1566489800.236594
NormPE1,1,read,"{'input': [('input', ('streamProducerSynth2', 2, 'output', 3))]}",1566489800.228531,1566489800.232047
NormPE1,1,process,"{}",1566489800.120387,1566489800.228527
NormPE1,1,write,"{'output': 'output_mean', 'size': 29443, 'id': ('NormPE1', 1, 'output_mean', 5)}",1566489800.273996,1566489800.27407
NormPE1,1,write,"{'output': 'output_max', 'size': 29442, 'id': ('NormPE1', 1, 'output_max', 5)}",1566489800.274111,1566489800.2741618
NormPE1,1,read,"{'input': [('input', ('streamProducerReal0', 0, 'output', 3))]}",1566489800.274178,1566489800.275371
NormPE1,1,process,"{}",1566489800.243317,1566489800.274174
PeakGroundMotion3,3,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion3', 3, 'output', 4)}",1566489800.357974,1566489800.358109
PeakGroundMotion3,3,process,"{}",1566489800.231713,1566489800.35795
PeakGroundMotion3,3,read,"{'input': [('input', ('NormPE1', 1, 'output_mean', 5))]}",1566489800.3581598,1566489800.3592708
Match5,5,read,"{'input': [('input', ('PeakGroundMotion3', 3, 'output', 4))]}",1566489800.204882,1566489800.359665
Match5,5,process,"{}",1566489800.2048619,1566489800.204876
NormPE1,1,write,"{'output': 'output_mean', 'size': 29394, 'id': ('NormPE1', 1, 'output_mean', 6)}",1566489800.3804212,1566489800.3804932
NormPE1,1,write,"{'output': 'output_max', 'size': 29393, 'id': ('NormPE1', 1, 'output_max', 6)}",1566489800.3805199,1566489800.380564
NormPE1,1,read,"{'input': [('input', ('streamProducerSynth2', 2, 'output', 4))]}",1566489800.3805811,1566489800.3814359
NormPE1,1,process,"{}",1566489800.275429,1566489800.380577
NormPE1,1,write,"{'output': 'output_mean', 'size': 29443, 'id': ('NormPE1', 1, 'output_mean', 7)}",1566489800.393524,1566489800.3935869
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1272, 'id': ('PeakGroundMotion4', 4, 'output', 4)}",1566489800.393291,1566489800.393396
NormPE1,1,write,"{'output': 'output_max', 'size': 29442, 'id': ('NormPE1', 1, 'output_max', 7)}",1566489800.393609,1566489800.393641
PeakGroundMotion4,4,process,"{}",1566489800.2366982,1566489800.393271
NormPE1,1,read,"{'input': [('input', ('streamProducerReal0', 0, 'output', 4))]}",1566489800.393657,1566489800.39437
NormPE1,1,process,"{}",1566489800.3814762,1566489800.393653
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 4))]}",1566489800.3597262,1566489800.394887
Match5,5,process,"{}",1566489800.359713,1566489800.359722
PeakGroundMotion4,4,read,"{'input': [('input', ('NormPE1', 1, 'output_max', 5))]}",1566489800.393427,1566489800.400202
NormPE1,1,write,"{'output': 'output_mean', 'size': 29394, 'id': ('NormPE1', 1, 'output_mean', 8)}",1566489800.411435,1566489800.411506
NormPE1,1,write,"{'output': 'output_max', 'size': 29393, 'id': ('NormPE1', 1, 'output_max', 8)}",1566489800.411535,1566489800.4115689
NormPE1,1,read,"{'input': [('input', ('streamProducerSynth2', 2, 'output', 5))]}",1566489800.411585,1566489800.4119868
NormPE1,1,process,"{}",1566489800.394408,1566489800.411581
PeakGroundMotion4,4,write,"{'output': 'output', 'size': 1273, 'id': ('PeakGroundMotion4', 4, 'output', 5)}",1566489800.429878,1566489800.430023
PeakGroundMotion4,4,process,"{}",1566489800.400269,1566489800.429856
Match5,5,read,"{'input': [('input', ('PeakGroundMotion4', 4, 'output', 5))]}",1566489800.394964,1566489800.4306931
Match5,5,process,"{}",1566489800.3949518,1566489800.39496
