PE,rank,method,data,start,end
PE_taper18,6,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper18', 6, 'output', 3)}",1566489792.06779,1566489792.067877
PE_taper18,6,process,"{}",1566489792.065692,1566489792.067543
PE_detrend23,11,read,"{'input': [('input', ('data29', 0, 'output_synt', 3))]}",1566489791.842858,1566489792.052306
PE_remove_response19,7,read,"{'input': [('input', ('PE_taper18', 6, 'output', 3))]}",1566489791.887321,1566489792.087872
PE_detrend23,11,write,"{'output': 'output', 'size': 1015, 'id': ('PE_detrend23', 11, 'output', 3)}",1566489792.105279,1566489792.105371
PE_detrend23,11,process,"{}",1566489792.05235,1566489792.1050491
PE_taper24,12,read,"{'input': [('input', ('PE_detrend23', 11, 'output', 3))]}",1566489791.850135,1566489792.1213849
PE_remove_response19,7,write,"{'output': 'output', 'size': 1015, 'id': ('PE_remove_response19', 7, 'output', 3)}",1566489792.120946,1566489792.121043
PE_taper24,12,write,"{'output': 'output', 'size': 1015, 'id': ('PE_taper24', 12, 'output', 3)}",1566489792.122664,1566489792.122758
PE_remove_response19,7,process,"{}",1566489792.087923,1566489792.120681
PE_taper24,12,process,"{}",1566489792.121428,1566489792.122421
PE_pre_filter25,13,read,"{'input': [('input', ('PE_taper24', 12, 'output', 3))]}",1566489791.859566,1566489792.141377
PE_filter_lowpass20,8,read,"{'input': [('input', ('PE_remove_response19', 7, 'output', 3))]}",1566489791.8985941,1566489792.141377
PE_pre_filter25,13,write,"{'output': 'output', 'size': 1015, 'id': ('PE_pre_filter25', 13, 'output', 3)}",1566489792.1427891,1566489792.142876
PE_pre_filter25,13,process,"{}",1566489792.14143,1566489792.142557
PE_filter_lowpass20,8,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_lowpass20', 8, 'output', 3)}",1566489792.146324,1566489792.14641
PE_filter_lowpass20,8,process,"{}",1566489792.141619,1566489792.1461172
PE_filter_lowpass26,14,read,"{'input': [('input', ('PE_pre_filter25', 13, 'output', 3))]}",1566489791.873674,1566489792.1586502
PE_filter_highpass21,9,read,"{'input': [('input', ('PE_filter_lowpass20', 8, 'output', 3))]}",1566489791.910634,1566489792.163032
PE_filter_lowpass26,14,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_lowpass26', 14, 'output', 3)}",1566489792.165123,1566489792.165233
PE_filter_lowpass26,14,process,"{}",1566489792.158724,1566489792.1647491
PE_filter_highpass21,9,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_highpass21', 9, 'output', 3)}",1566489792.167874,1566489792.167974
PE_filter_highpass21,9,process,"{}",1566489792.1631339,1566489792.1676102
PE_filter_highpass27,15,read,"{'input': [('input', ('PE_filter_lowpass26', 14, 'output', 3))]}",1566489791.885302,1566489792.179112
PE_filter_bandpass22,10,read,"{'input': [('input', ('PE_filter_highpass21', 9, 'output', 3))]}",1566489791.9253602,1566489792.18496
PE_filter_highpass27,15,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_highpass27', 15, 'output', 3)}",1566489792.1843588,1566489792.1844559
PE_filter_highpass27,15,process,"{}",1566489792.17916,1566489792.184107
PE_filter_bandpass22,10,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_bandpass22', 10, 'output', 3)}",1566489792.1916192,1566489792.1917372
PE_filter_bandpass22,10,process,"{}",1566489792.185005,1566489792.191355
PE_filter_bandpass28,16,read,"{'input': [('input', ('PE_filter_highpass27', 15, 'output', 3))]}",1566489791.8979142,1566489792.2024682
RotationPE30,1,read,"{'input': [('input', ('PE_filter_bandpass22', 10, 'output', 3))]}",1566489791.93359,1566489792.2083478
RotationPE30,1,write,"{'output': 'output', 'size': 1015, 'id': ('RotationPE30', 1, 'output', 3)}",1566489792.209701,1566489792.209785
RotationPE30,1,process,"{}",1566489792.2083972,1566489792.2095108
PE_filter_bandpass28,16,write,"{'output': 'output', 'size': 1015, 'id': ('PE_filter_bandpass28', 16, 'output', 3)}",1566489792.211352,1566489792.211432
PE_filter_bandpass28,16,process,"{}",1566489792.202537,1566489792.2111402
