PE,rank,method,data,start,end
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 65)}",1566489778.7683,1566489778.768339
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 66)}",1566489778.768367,1566489778.76839
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 67)}",1566489778.768418,1566489778.768436
WatchDirectory9,1,write,"{'output': 'output', 'size': 88, 'id': ('WatchDirectory9', 1, 'output', 68)}",1566489778.7684639,1566489778.7684858
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 69)}",1566489778.768515,1566489778.768533
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 70)}",1566489778.7685592,1566489778.768585
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 71)}",1566489778.7686121,1566489778.76863
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 72)}",1566489778.768657,1566489778.768679
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 73)}",1566489778.768706,1566489778.768724
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 74)}",1566489778.7687511,1566489778.768769
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 75)}",1566489778.7688,1566489778.768818
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 76)}",1566489778.768848,1566489778.768867
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 77)}",1566489778.768894,1566489778.7689118
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 78)}",1566489778.768943,1566489778.768966
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 79)}",1566489778.768992,1566489778.7690089
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 80)}",1566489778.769046,1566489778.769064
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 81)}",1566489778.769092,1566489778.76911
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 82)}",1566489778.769147,1566489778.769244
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 83)}",1566489778.769284,1566489778.7693021
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 84)}",1566489778.7693388,1566489778.7693582
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 85)}",1566489778.769394,1566489778.7694132
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 86)}",1566489778.7694411,1566489778.769459
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 87)}",1566489778.7694862,1566489778.769504
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 88)}",1566489778.769532,1566489778.769551
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 89)}",1566489778.769582,1566489778.769601
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 90)}",1566489778.76963,1566489778.76965
WatchDirectory9,1,write,"{'output': 'output', 'size': 89, 'id': ('WatchDirectory9', 1, 'output', 91)}",1566489778.7696798,1566489778.769699
WatchDirectory9,1,write,"{'output': 'output', 'size': 88, 'id': ('WatchDirectory9', 1, 'output', 92)}",1566489778.769732,1566489778.76975
WatchDirectory9,1,read,"{'input': []}",1566489778.769776,1566489778.76983
WatchDirectory9,1,process,"{}",1566489778.76236,1566489778.769771
WatchDirectory9,1,terminate,"{}",1566489778.769898,1566489778.769917
WatchDirectory9,1,postprocess,"{}",1566489778.769873,1566489778.7698932
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 1))]}",1566489759.992117,1566489778.7637959
PE_stationxml_reader11,3,preprocess,"{}",1566489759.9919748,1566489759.9920819
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 1)}",1566489778.77708,1566489778.777229
PE_stationxml_reader11,3,process,"{}",1566489778.7682502,1566489778.777038
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 2))]}",1566489778.777267,1566489778.7773209
PE_waveform_reader6,4,read,"{'input': [('input', ('WatchDirectory9', 1, 'output', 1))]}",1566489759.9944441,1566489778.764964
PE_waveform_reader6,4,preprocess,"{}",1566489759.9942951,1566489759.994402
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 2)}",1566489778.781472,1566489778.781493
PE_stationxml_reader11,3,process,"{}",1566489778.7773361,1566489778.781462
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 3))]}",1566489778.781527,1566489778.78157
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 3)}",1566489778.784842,1566489778.784864
PE_stationxml_reader11,3,process,"{}",1566489778.781586,1566489778.784832
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 4))]}",1566489778.78491,1566489778.7849548
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 4)}",1566489778.787904,1566489778.787925
PE_stationxml_reader11,3,process,"{}",1566489778.784972,1566489778.787895
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 5))]}",1566489778.7879622,1566489778.78801
PE_waveform_reader6,4,write,"{'output': 'output', 'size': 56, 'id': ('PE_waveform_reader6', 4, 'output', 1)}",1566489778.788393,1566489778.7886689
PE_stationxml_reader11,3,write,"{'output': 'output', 'size': 86, 'id': ('PE_stationxml_reader11', 3, 'output', 5)}",1566489778.789186,1566489778.789204
PE_waveform_reader6,4,process,"{}",1566489778.769925,1566489778.788373
PE_stationxml_reader11,3,process,"{}",1566489778.788026,1566489778.7891798
PE_waveform_reader6,4,read,"{'input': [('input', ('WatchDirectory9', 1, 'output', 2))]}",1566489778.7886999,1566489778.788743
PE_stationxml_reader11,3,read,"{'input': [('input', ('WatchDirectory10', 2, 'output', 6))]}",1566489778.7892401,1566489778.789289
PE_waveform_reader6,4,write,"{'output': 'output', 'size': 56, 'id': ('PE_waveform_reader6', 4, 'output', 2)}",1566489778.792489,1566489778.792541
PE_waveform_reader6,4,process,"{}",1566489778.788754,1566489778.792476
PE_waveform_reader6,4,read,"{'input': [('input', ('WatchDirectory9', 1, 'output', 3))]}",1566489778.792576,1566489778.7926242
